Using device: cuda
Found 142 patient folders in /mnt/Drive2/lucas/models/DIRAC/Dataset/predict_gbm/
[ok] respond_tum_001: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_001_Y_X_recurrence.nii.gz
[ok] tgm045: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm045_Y_X_recurrence.nii.gz
[ok] tgm047: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm047_Y_X_recurrence.nii.gz
[ok] tgm048: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm048_Y_X_recurrence.nii.gz
[ok] tgm049: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm049_Y_X_recurrence.nii.gz
[ok] tgm052: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm052_Y_X_recurrence.nii.gz
[ok] tgm053: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm053_Y_X_recurrence.nii.gz
[ok] tgm054: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm054_Y_X_recurrence.nii.gz
[ok] tgm055: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm055_Y_X_recurrence.nii.gz
[ok] tgm056: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm056_Y_X_recurrence.nii.gz
[ok] tgm057: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm057_Y_X_recurrence.nii.gz
[ok] tgm060: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm060_Y_X_recurrence.nii.gz
[ok] tgm061: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm061_Y_X_recurrence.nii.gz
[ok] tgm063: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm063_Y_X_recurrence.nii.gz
[ok] tgm064: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm064_Y_X_recurrence.nii.gz
[ok] tgm065: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm065_Y_X_recurrence.nii.gz
[ok] tgm066: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm066_Y_X_recurrence.nii.gz
[ok] tgm068: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm068_Y_X_recurrence.nii.gz
[ok] tgm071: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm071_Y_X_recurrence.nii.gz
Done.
